id,razon_social,referente,telefono,email,direccion,rubro,pagina,tiene_software,nivel_interes,observaciones,relevado_at,fuente
421301ff-95d1-4a63-8bda-340fd09ae9e1,gualok srl,Lorena Quintana,362 421-2427,compras@gualoksrl.com.ar,pasaje Roldan 3330,,,SI,Medio,"Se le presento todas las opciones de servicio que prestamos, le plantee el Tango, no me supo decir la encargada cual es su software vigente, le comente nuestro datacenter, computos, camaras, equipos de reloj biometricos, impresoras y servicio de reparacion, cuentan con un rack de 24 uni. con un server viejo IBM tipo Tower, le plantee la posibilidad de cambiar el server y mas, ofreci cableado de puestos.",2025-02-24 11:24:57-03,formulario
ca89364c-2105-5406-aa07-413533e596ac,DAUKSZEWICZ,JUAN PABLO,3794378706,,mercado central,,,SI,Medio,"Tienen equipamiento basico, ceuntan con camaras, hay impresoras, usan un software basico de gestion",2025-02-25 11:59:32-03,formulario
aef3887b-743a-5dcc-bae4-130051b58f7c,Productos Natalia,"Lucas, asistente",3794687666,,Mercado Central,,,SI,Medio,"Tienen puestos basicos, hay impresoras, camaras, el software es de gestion on-line basico",2025-02-25 12:04:45-03,formulario
266bd583-c800-45a4-927e-d8a5fc081404,EL CROATA S.R.L.,AYRTON,3794725372,ayrton.vucko@gmail.com,mercado central,,,NO,Medio,"Este cliente no cuenta con nada, solamente hay una contadora de billetes, no hay ningun equito informatico, le intereso la posibilidad de agregar un puesto con lector de codigos y ir agregando mas cosas en computos mas adelante.",2025-02-25 12:09:53-03,formulario
dd70ce4d-1ba4-56cf-88ae-18c5a7f90519,RAN DISTRIBUIDORA,ADMINISTRACION,,,ruta 12 y maipu,,,SI,Medio,"Me acerque de manera presencial sin sita a las 8.49am no habia nadie me pidio el guardia que vuelva tipo 11hs, volvi a esa hora me atendieron un grupo de administrativos, me dijeron que compraban en resistencia, pero no sabian quien pero que ya habia dado de baja y les interoso todo lo que le ofreci, pero primero se lo va a comentar al gerente y se pondrian en contacto",2025-02-26 12:29:38-03,formulario
987d7e24-599b-5c2d-be08-c075ba840669,MNS  SA,,3794612513,ventas@mnssa.com.ar,ruta 12 km 1024,,,SI,Medio,"Me presente personalmente, comente todos nuestros servicios, me comento que tienen trato con Falucho en algunas cosas de sistema. Quedo interesado en camaras de seguridad y que se va a contactar.",2025-02-26 12:34:00-03,formulario
01834bee-09b7-5482-b867-0837f008175e,DRIGUERIA AVENIDA,,,,Ruta 12 y maipu,,,SI,Medio,"Me atendio el guardia, llama al area de compra, me dijo que hoy miercoles 26/02 no me podian atender por que estaban ocupados, pero si me dijo que vuelva el Jueves 27/02 que me iban hacer un lugar entre las 8am y 11am.",2025-02-26 12:37:09-03,formulario
df3c1a69-76c4-5569-ae51-6e9a042d829c,Performance center,,,,Ruta 12 y rotonda,,,NO,Medio,"Me presente despues de salir de MNS SA, le intereso todo el servicio que comente, me dijeron que son una empresa en fusion y que recien se estaban armando, se van a contactar.",2025-02-26 12:40:53-03,formulario
19c96aaa-0757-531c-bd5c-e265d64c692d,JB DISTRIBUIDORA,juan ignacio,3794 86-6093,,ruta 5,,,SI,Medio,"Me atendio el Guardia Alejandro, le deje el contacto el cual el guardia se lo entrego a Jaun Ignacio quien le brindo su contacto a Alejandro para que yo lo llame, porque hoy estaban ocupados, mañana 27/02 los llamo para coordinar una sita despues de que salgo de Drogueria Avenida.",2025-02-26 12:44:20-03,formulario
7300b368-e901-53e1-85f8-9478bf18c623,DISTRIBUIDORA M Y M GRUPO FABRIZZI,Dueña,0379 466-6017,,Ruta 5 frente a JB DISTRIBUIDORA,,,NO,Medio,"Me presente y ofreci todos nuestros servicios, quedo interesada en el Datacenter y le interesa todos loa servicios, no me quizo dejar su conatcto pero me dijo que se iba a comunicar.",2025-02-26 12:48:10-03,formulario
6fa6d27b-f051-5f9d-bb5d-15430832a7ab,eseica nea,Encargado de sistema,,,Ruta 5,,,SI,Medio,"Le presente y comente todos nuestros servicio, me dijo que le interesa el tema de los insumos, quedamos en que me iba a contactar para que le presente cotizacion de los toner que necesita para HPE de las impresoras que tienen y que lo iba a compartir con sus superiores.",2025-02-26 12:50:30-03,formulario
